Date : 2026-05-18 02:17:12
Directory : /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib
Total : 65 files,  2590 codes, 566 comments, 506 blanks, all 3662 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         62 |      2,401 |        566 |        506 |      3,473 |
| JSON     |          3 |        189 |          0 |          0 |        189 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         65 |      2,590 |        566 |        506 |      3,662 |
| . (Files)                                                                                                                           |          1 |        164 |          6 |         15 |        185 |
| application                                                                                                                         |          9 |        100 |         49 |         39 |        188 |
| application/favorites                                                                                                               |          2 |         22 |         10 |          8 |         40 |
| application/preferences                                                                                                             |          5 |         60 |         28 |         23 |        111 |
| application/quotes                                                                                                                  |          2 |         18 |         11 |          8 |         37 |
| core                                                                                                                                |         10 |        433 |        161 |        107 |        701 |
| core/l10n                                                                                                                           |          7 |        368 |        133 |         85 |        586 |
| core/l10n (Files)                                                                                                                   |          3 |        189 |          0 |          0 |        189 |
| core/l10n/generated                                                                                                                 |          4 |        179 |        133 |         85 |        397 |
| core/routes                                                                                                                         |          1 |         19 |          3 |          5 |         27 |
| core/theme                                                                                                                          |          2 |         46 |         25 |         17 |         88 |
| data                                                                                                                                |         12 |        412 |        104 |         94 |        610 |
| data/data_objects                                                                                                                   |          3 |        140 |         54 |         43 |        237 |
| data/data_sources                                                                                                                   |          5 |        162 |         31 |         28 |        221 |
| data/repositories_impl                                                                                                              |          4 |        110 |         19 |         23 |        152 |
| domain                                                                                                                              |          9 |         96 |         60 |         42 |        198 |
| domain/entities                                                                                                                     |          5 |         71 |         47 |         30 |        148 |
| domain/repositories                                                                                                                 |          4 |         25 |         13 |         12 |         50 |
| infrastructure                                                                                                                      |          7 |        272 |         40 |         46 |        358 |
| infrastructure/api_client                                                                                                           |          5 |        131 |         22 |         25 |        178 |
| infrastructure/api_client (Files)                                                                                                   |          2 |         19 |          8 |          6 |         33 |
| infrastructure/api_client/dio                                                                                                       |          1 |         99 |          4 |         10 |        113 |
| infrastructure/api_client/models                                                                                                    |          2 |         13 |         10 |          9 |         32 |
| infrastructure/storage                                                                                                              |          2 |        141 |         18 |         21 |        180 |
| infrastructure/storage (Files)                                                                                                      |          1 |         23 |         13 |          9 |         45 |
| infrastructure/storage/shared_preferences                                                                                           |          1 |        118 |          5 |         12 |        135 |
| presentation                                                                                                                        |         17 |      1,113 |        146 |        163 |      1,422 |
| presentation/providers                                                                                                              |          8 |        249 |        108 |         73 |        430 |
| presentation/providers/crypto_quote                                                                                                 |          2 |         47 |         22 |         16 |         85 |
| presentation/providers/favorites                                                                                                    |          2 |         65 |         30 |         18 |        113 |
| presentation/providers/klines                                                                                                       |          2 |         56 |         26 |         18 |        100 |
| presentation/providers/preferences                                                                                                  |          2 |         81 |         30 |         21 |        132 |
| presentation/screens                                                                                                                |          9 |        864 |         38 |         90 |        992 |
| presentation/screens/detail                                                                                                         |          1 |        271 |          4 |         22 |        297 |
| presentation/screens/home                                                                                                           |          7 |        473 |         32 |         54 |        559 |
| presentation/screens/home (Files)                                                                                                   |          1 |         53 |          3 |          4 |         60 |
| presentation/screens/home/tabs                                                                                                      |          2 |        115 |          8 |         17 |        140 |
| presentation/screens/home/widgets                                                                                                   |          4 |        305 |         21 |         33 |        359 |
| presentation/screens/preferences                                                                                                    |          1 |        120 |          2 |         14 |        136 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                            | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/favorites/get_favorites_usecase.dart                       | Dart     |          7 |          5 |          4 |         16 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/favorites/toggle_favorite_usecase.dart                     | Dart     |         15 |          5 |          4 |         24 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/get_preferences_usecase.dart                   | Dart     |          7 |          5 |          4 |         16 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/save_preferences_usecase.dart                  | Dart     |          8 |          5 |          4 |         17 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_darkmode_preferences_usecase.dart       | Dart     |         15 |          6 |          5 |         26 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_fontscale_usecase.dart                  | Dart     |         15 |          6 |          5 |         26 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_locale_usecase.dart                     | Dart     |         15 |          6 |          5 |         26 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/quotes/get_crypto_quotes_usecase.dart                      | Dart     |          7 |          5 |          4 |         16 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/quotes/get_klines_usecase.dart                             | Dart     |         11 |          6 |          4 |         21 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_en.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_es.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_pt.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
